accel_x,accel_y,accel_z,encoder_a,encoder_b
-6.89,-1.96,6.28,10094,12611
-7.13,5.97,2.63,10068,8836
-6.01,3.27,-7.05,10511,4808
-3.95,-7.56,-4.55,11075,833
-3.17,-6.43,6.33,11274,13790
-4.38,4.88,7.10,11000,10181
-4.50,7.37,-4.80,10999,5918
-5.45,-4.51,-6.68,10588,1824
-7.15,-5.92,2.10,9846,14777
-9.14,0.29,2.79,8819,11238
-9.54,1.17,-0.16,8408,7371
-9.48,-0.10,-1.64,8505,3436
-9.58,-0.22,-0.11,7995,16179
-8.26,2.04,-4.71,6538,12719
-3.68,-7.11,-5.50,4887,9087
1.16,-7.84,5.55,3756,5763
3.80,3.71,8.33,3070,2257
4.84,8.35,-2.90,2736,14710
4.18,-2.97,-8.54,2957,10502
4.18,-8.64,1.84,3065,6830
2.03,-0.36,9.55,3698,3491
-4.05,8.53,2.44,5142,16365
-5.67,2.23,-7.72,5653,12273
-7.47,-5.51,-2.46,6431,8513
-8.61,-2.63,3.12,6959,4947
-9.13,2.09,2.08,7233,1152
-9.17,2.29,-2.07,7291,13716
-9.42,-1.13,-1.59,7642,9855
-9.54,-0.80,0.24,7926,6103
-9.58,0.04,0.32,7958,2226
-9.59,0.24,-0.19,8002,14874
-9.53,0.04,0.98,8406,11113
-9.54,1.16,-0.17,8436,7260
-9.54,-0.10,-1.20,8375,3355
-9.59,-0.21,-0.11,8126,16004
-9.59,-0.05,-0.20,8044,12444
-9.46,-1.43,-0.72,7640,8384
-8.72,-2.45,3.00,6959,4925
-5.48,5.14,6.05,5529,1417
-0.65,8.71,-4.78,4105,14212
6.60,-1.16,-7.47,2113,10953
9.96,1.65,0.33,15864,8424
1.99,8.52,-4.87,12706,6057
-7.29,-0.14,-6.48,9780,3226
-9.22,2.09,1.62,7193,887
-1.58,9.65,-1.45,4274,15171
8.72,2.53,-4.48,1084,12630
7.44,0.69,6.59,14175,11425
-5.92,2.02,7.28,10310,10829
-8.36,-2.48,-4.16,6632,10143
3.57,-5.83,-7.14,3032,9689
9.79,2.06,1.41,15587,9476
-1.76,3.39,8.92,11633,10660
-9.59,-0.08,-0.01,7891,10697
-0.28,-3.19,-9.34,4073,10674
9.59,-0.86,-3.00,582,10479
3.55,4.01,8.30,12973,10478
-8.63,1.62,3.79,9124,10491
-5.64,-3.10,-7.33,5539,10522
6.74,-0.27,-7.46,2024,11420
8.12,-1.55,5.56,14504,12457
-5.00,-4.22,6.95,10640,13004
-8.86,1.94,-3.44,6946,13012
1.96,6.54,-7.34,3324,13568
10.02,1.28,-0.15,10,15655
3.90,-7.24,-5.40,13081,1043
-6.17,0.19,-7.62,10267,3619
-9.35,-1.79,0.78,7360,6494
-4.10,-7.37,-4.75,5039,9160
3.55,1.49,-9.25,2936,12216
9.36,3.79,-0.58,796,15646
9.93,-0.29,-1.80,15815,2771
9.55,3.04,-1.50,15513,6592
9.30,2.36,3.10,15213,10462
7.67,-4.66,4.18,14323,14263
4.17,-7.32,-5.09,13208,1234
2.88,4.25,-8.63,12966,5009
-0.22,8.73,4.53,12156,9191
-0.01,-3.64,8.96,12145,13032
0.23,-9.53,-1.75,12228,116
1.94,-0.29,-9.77,12723,3677
1.77,9.79,-0.01,12730,7917
1.48,0.35,9.64,12579,11914
0.06,-9.43,2.07,12073,15439
-3.04,-4.86,-7.92,11311,2443
-5.46,6.64,-4.78,10618,6412
-5.63,4.38,6.49,10618,10541
-2.16,-6.75,6.45,11595,14160
2.87,-8.31,-4.33,12919,945
5.45,2.67,-8.04,13781,4647
8.12,5.77,1.59,14715,8746
9.91,0.15,1.88,15784,12349
9.88,2.16,-0.18,408,16011
8.69,1.25,4.86,1438,3331
7.38,-6.23,2.10,1989,7014
7.68,-3.28,-5.52,1779,10579
7.82,5.61,-3.14,1670,14769
7.68,4.28,4.84,1844,2166
4.91,-5.64,6.32,2803,5834
2.28,-8.37,-4.53,3546,9191
-5.00,0.73,-8.44,5544,12280
-9.54,1.07,-0.36,7869,15567
-6.80,-4.78,-4.93,10224,1831
1.87,2.24,-9.56,12855,4407
10.07,0.70,-0.36,16336,6655
2.67,-8.99,2.55,3682,7069
-8.69,-3.95,0.50,7244,7437
